Sl_No,Zone_Name,Simple_Accidents,Fatal_Accidents,Total_Accidents
1,BHALSWA CHOWK,4,6,10
2,MUKARBA CHOWK,4,4,8
3,METRO STATION HAIDER PUR,3,4,7
4,PUNJABI BAGH CHOWK,8,3,11
5,AZADPUR CHOWK,5,3,8
6,SARAI KALE KHAN,3,3,6
7,BURARI CHOWK,3,3,6
8,SEELAMPUR T POINT,3,3,6
9,SIGNATURE BRIDGE KHAJOORI,2,3,5
12,LOHA MANDI T- POINT,2,3,5
14,DELHI GATE,2,3,5
15,DEEPALI CHOWK,2,3,5
17,RAJOUKARI FLYOVER,1,3,4
18,GHAZIPUR FLYOVER MURGA MANDI,8,2,10
