Road_Stretch,Fatal_2020,Fatal_2021,Fatal_2022,Injury_2020,Injury_2021,Injury_2022,NonInjury_2020,NonInjury_2021,NonInjury_2022,Total_2020,Total_2021,Total_2022
Azad Pur To Dhaula Kuan,41,38,59,69,62,72,0,0,3,110,100,
Dhaula Kuan To I. P. Depot,23,21,29,58,68,76,2,3,3,83,92,
I.P. Depot To I. P. College,10,18,18,37,41,50,0,0,0,47,59,
I. P. College To Azad Pur,11,8,13,36,21,25,0,0,1,47,29,
