Rank,Road_Name,Fatal_Accidents,Total_Accidents,Persons_Killed
1,OUTER RING ROAD,97,256,100
2,RING ROAD,85,287,88
3,GTK ROAD,46,119,48
4,ROHTAK ROAD,38,139,39
6,WAZIRABAD ROAD,23,64,25
7,NAJAFGARH ROAD,20,104,20
8,MEHRAULI BADARPUR RD,18,57,19
11,GRAND TRUNK ROAD,14,54,14
14,PUSTA ROAD,10,36,11
17,BUWASAN ROAD,9,19,9
21,PATEL ROAD,7,30,9
24,VIKAS MARG,7,27,7
