Sl_No,Zone_Name,Simple_Accidents,Fatal_Accidents,Total_Accidents
1,NEAR AZADPUR SABZI MANDI,3,5,8
3,SGTNAGAR,0,4,4
5,METRO STATION JUNGPURA,4,3,7
7,MURGA MANDI FLYOVER GHAZIPUR,4,3,7
8,BRITANNIA CHOWK,4,3,7
9,NARAINA,3,3,6
10,PUNJABI BAGH CHOWK,3,3,6
11,NEHRU PLACE,3,3,6
14,AZADPUR CHOWK,2,3,5
15,MOHAN ESTATE,1,3,4
16,RAJOUKARI FLYOVER,1,3,4
18,MUKARBA CHOWK,1,3,4
19,GANDHI VIHAR BUS STAND,0,3,3
20,PEERAGARHI CHOWK,8,2,10
