Sl_No,Zone_Name,Simple_Accidents,Fatal_Accidents,Total_Accidents
1,BHALSWA CHOWK,3,5,8
2,MURGA MANDI FLYOVER GAJIPUR,10,4,14
3,AZADPUR CHOWK,7,3,10
4,BURARI CHOWK,3,3,6
5,TIKRI VILLAGE,3,3,6
6,GOKALPURI,3,3,6
7,RAJOUKARI FLYOVER,2,3,5
8,MAJNU KA TILA,1,3,4
9,SINGHU BORDER,1,3,4
10,DELHI GATE,1,3,4
12,TOLL PLAZA BADARPUR,10,2,12
13,PEERAGARHI CHOWK,10,2,12
14,PUNJABI BAGH CHOWK,8,2,10
15,KALINDI KUNJ,11,1,12
