Rank,Road_Name,Simple_Day,Simple_Night,Fatal_Day,Fatal_Night,Total_Day,Total_Night
1,RING ROAD,7,3,3,1,10,4
2,MATHURA ROAD,7,1,2,0,9,1
3,ROHTAK ROAD,4,1,1,1,5,2
5,WAZIRABAD ROAD,1,1,1,0,2,1
6,PUSTA ROAD,1,1,0,1,1,2
7,MEHRAULI BADARPUR ROAD,1,1,1,0,2,1
8,AUROBINDO MARG,0,2,1,0,1,2
11,GTK ROAD,1,1,0,0,1,1
12,AGRA CANAL ROAD,1,1,0,0,1,1
