Location,Location_Type,Fatal_Crashes,Injury_Crashes,NonInjury_Crashes,Total_Crashes,Persons_Killed,District,Road_Name,Year,Category,Time_Period,Victim_Type
Aruna Asaf Ali Marg,Road,0,6,0,4,0,,Aruna Asaf Ali Marg,2022,Road,All,All
Asaf Ali Road,Road,1,1,0,2,1,,Asaf Ali Road,2022,Road,All,All
August Kranti Marg,Road,0,2,0,1,0,,August Kranti Marg,2022,Road,All,All
Aurobindo Marg,Road,6,17,,,6,,Aurobindo Marg,2022,Road,All,All
Bahadur Shah Zr Marg,Road,1,6,0,4,1,,Bahadur Shah Zr Marg,2022,Road,All,All
Bawana Road,Road,28,50,1,,28,,Bawana Road,2022,Road,All,All
Bhati Mine Marg,Road,0,0,0,,0,,Bhati Mine Marg,2022,Road,All,All
Boulevard Road,Road,1,8,0,9,1,,Boulevard Road,2022,Road,All,All
Captain Gaur Marg,Road,1,3,0,2,1,,Captain Gaur Marg,2022,Road,All,All
Chhatarpur Road,Road,0,6,0,3,0,,Chhatarpur Road,2022,Road,All,All
Dhansa Road,Road,8,7,2,8,8,,Dhansa Road,2022,Road,All,All
Desh Bandu Gupta Road,Road,10,16,0,14,10,,Desh Bandu Gupta Road,2022,Road,All,All
Dr. Ambedkar Road,Road,0,0,0,2,0,,Dr. Ambedkar Road,2022,Road,All,All
DSIDC Narela Road,Road,1,7,0,2,1,,DSIDC Narela Road,2022,Road,All,All
Dwarka Road,Road,,,,0,,,Dwarka Road,2022,Road,All,All
Faiz Road,Road,1,1,0,3,1,,Faiz Road,2022,Road,All,All
Ghuman Hera Marg,Road,1,0,0,1,1,,Ghuman Hera Marg,2022,Road,All,All
Grand Trunk Road,Road,25,71,2,54,25,,Grand Trunk Road,2022,Road,All,All
GTK Road,Road,65,117,1,119,65,,GTK Road,2022,Road,All,All
Gurgaon Road,Road,0,0,0,0,0,,Gurgaon Road,2022,Road,All,All
ISBT Road,Road,0,1,0,0,0,,ISBT Road,2022,Road,All,All
Jawahar Lal Nehru Road,Road,6,11,0,5,6,,Jawahar Lal Nehru Road,2022,Road,All,All
