Road_Name,Fatal_2020,Fatal_2021,Fatal_2022,Injury_2020,Injury_2021,Injury_2022,NonInjury_2020,NonInjury_2021,NonInjury_2022,Total_2020,Total_2021,Total_2022
Rohtak Road (NH-10),38,46,63,100,89,126,1,1,2,139,136,191
Mathu- ra Road NH-2,15,14,27,60,66,86,0,0,4,75,80,109
NH-8,27,26,29,61,56,55,0,3,0,88,85,84
NH- 24,17,15,25,26,32,68,0,0,0,43,47,93
G.T. Karnal Road NH-1,46,44,65,72,90,117,1,0,1,119,134,183
G.T. Road NH-58,14,21,25,40,57,71,0,0,2,54,78,98
